_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
157.0625442217,25.5731884243,51260,10 28 15.00,+25 34 23.6,9.98,157.06251504,25.57321815,4.53,10.83,-12.23,2.53,0.6,,157.06254422,25.57318842,51222
157.0981258889,-51.7052624801,51271,10 28 23.52,-51 42 18.7,8.9,157.09800348,-51.70518181,41.16,31.21,-33.19,0.96,1.045,,157.09812589,-51.70526248,51233
158.5793246691,-9.1631725726,51743,10 34 19.15,-09 09 48.1,10.21,158.57979173,-9.1633615,14.8,-189.71,77.73,1.77,0.823,,158.57932467,-9.16317257,51704
161.7072543684,-9.3990248199,52733,10 46 49.79,-09 23 55.8,8.04,161.70744562,-9.39883582,8.87,-77.63,-77.76,1.21,0.844,,161.70725437,-9.39902482,52693
161.9097853542,71.6558775185,52796,10 47 38.45,+71 39 21.5,8.34,161.9102271,71.65595921,12.45,-57.2,-33.61,0.88,0.476,,161.90978535,71.65587752,52756
164.2881574766,-69.9806232141,53534,10 57 09.21,-69 58 50.2,9.27,164.2883589,-69.98062336,14.66,-28.37,0.06,1.45,0.8,,164.28815748,-69.98062321,53493
166.2691966574,11.246609093,54186,11 05 04.57,+11 14 48.2,9.75,166.26904046,11.2467191,5.96,63.03,-45.26,2.02,0.681,,166.26919666,11.24660909,54145
167.2329698722,34.3031904428,54491,11 08 55.92,+34 18 11.8,8.98,167.23298835,34.30328854,16.16,-6.28,-40.36,1.16,0.661,,167.23296987,34.30319044,54450
167.6082708556,-29.4139788822,54597,11 10 25.99,-29 24 49.7,9.83,167.60829474,-29.41379941,24.76,-8.56,-73.84,1.53,1.07,,167.60827086,-29.41397888,54556
168.6381766632,25.710384694,54906,11 14 33.23,+25 42 37.0,7.76,168.63846191,25.71026742,46.95,-105.74,48.25,0.97,0.845,,168.63817666,25.71038469,54864
